崧泽华城华中苑,2室2厅,79.66平米,173,21718元/平,2020.05.10,南,毛坯,高楼层(共18层),板楼
巨西小区,2室1厅,53.95平米,445,82484元/平,2020.05.10,南,简装,高楼层(共6层),1993年建板楼
绿地新干线,3室1厅,81.89平米,294,35902元/平,2020.05.10,南,精装,高楼层(共6层),2005年建板楼
天和湖滨家园(公寓),2室2厅,97.73平米,307,31414元/平,2020.05.10,南,精装,中楼层(共13层),2010年建板楼
嘉和花苑,2室2厅,109.31平米,645,59007元/平,2020.05.10,南北,精装,低楼层(共11层),2002年建板楼
银都新村(8至10区),2室1厅,56.65平米,272,48015元/平,2020.05.10,南,精装,高楼层(共6层),1995年建板楼
三林世博家园(板泉路2101弄),2室2厅,74平米,390,52703元/平,2020.05.10,南,精装,中楼层(共6层),2006年建板楼
城中花园,2室2厅,96.03平米,380,39571元/平,2020.05.10,南北,精装,低楼层(共12层),2006年建板楼
仁恒滨江园,3室2厅,144.35平米,1455,100797元/平,2020.05.10,西,精装,低楼层(共10层),1999年建板楼
首创旭辉城(公寓),3室1厅,84.86平米,225,26456元/平,2020.05.10,南,精装,中楼层(共21层),板楼
红旗四街坊,2室1厅,58.48平米,161,27394元/平,2020.05.10,南北,简装,高楼层(共6层),1995年建板楼
天山星城,2室1厅,75.41平米,717,95081元/平,2020.05.10,南,精装,高楼层(共27层),2012年建板楼
德华路301号,2室1厅,72.4平米,220,30387元/平,2020.05.10,南北,简装,高楼层(共6层),1993年建板楼
雍华府(公寓),2室2厅,85.79平米,479,55835元/平,2020.05.10,南北,简装,高楼层(共7层),2010年建板楼
由由七村,3室2厅,87.54平米,443,50569元/平,2020.05.10,南,精装,高楼层(共6层),1995年建板楼
平顺小区,2室1厅,43.24平米,206,47526元/平,2020.05.10,南北,简装,高楼层(共6层),1986年建板楼
绿洲花园,2室1厅,82.14平米,303,36889元/平,2020.05.10,南,精装,中楼层(共12层),2006年建板楼
菊园,3室2厅,125.08平米,1070,85546元/平,2020.05.10,北东北,精装,中楼层(共32层),2001年建塔楼
金都花好悦园,2室2厅,76.65平米,364,47424元/平,2020.05.10,南,精装,高楼层(共6层),1997年建板楼
博一小区,3室1厅,78.05平米,373,47765元/平,2020.05.10,南,精装,低楼层(共6层),1995年建板楼
荷三小区,1室1厅,41.66平米,183,43928元/平,2020.05.10,南,简装,高楼层(共6层),1997年建板楼
牡丹小区(浦东),2室1厅,60.17平米,348,57754元/平,2020.05.10,东南,毛坯,高楼层(共6层),1995年建板楼
东园三村,1室1厅,37.96平米,352,92730元/平,2020.05.10,南,精装,高楼层(共6层),1996年建板楼
经纬观澜弘郡家园(三期),2室2厅,84.26平米,454,53881元/平,2020.05.10,南北,简装,高楼层(共14层),2009年建板楼
繁新苑,2室1厅,72.4平米,182,25139元/平,2020.05.10,南北,简装,高楼层(共6层),2005年建板楼
沪东新村,2室1厅,51.11平米,212,41480元/平,2020.05.10,南,简装,中楼层(共5层),1982年建板楼
锦绣华都,3室1厅,91.84平米,545,59343元/平,2020.05.10,南北,精装,高楼层(共14层),2010年建板楼
水语人家北苑,1室1厅,55.33平米,190,34340元/平,2020.05.10,南,精装,中楼层(共14层),2009年建板楼
济阳二村,2室1厅,57.88平米,288,49759元/平,2020.05.10,东南,精装,高楼层(共6层),1993年建板楼
锦绣满堂花园,3室2厅,130.97平米,1100,83989元/平,2020.05.10,南北,简装,高楼层(共17层),2006年建板楼
绿地崴廉公寓,2室2厅,96.73平米,460,47556元/平,2020.05.10,南北,简装,低楼层(共16层),2009年建板楼
万科琥珀郡园,3室2厅,142.45平米,533,37417元/平,2020.05.10,南,精装,低楼层(共8层),2012年建板楼
徐汇华园,2室2厅,82.38平米,499,60573元/平,2020.05.10,南北,简装,中楼层(共12层),2005年建板楼
政立路545弄,2室1厅,63.79平米,399,62549元/平,2020.05.10,南,简装,中楼层(共6层),1994年建板楼
紫叶花园,2室1厅,64.37平米,333,51624元/平,2020.05.10,南,精装,低楼层(共6层),1995年建板楼
心圆东苑,3室2厅,100.02平米,395,39493元/平,2020.05.10,北南,毛坯,低楼层(共15层),2012年建板楼
汇颂南苑,2室2厅,76.4平米,237,31021元/平,2020.05.10,南,精装,中楼层(共11层),2008年建板楼
合景叠翠峰苑,2室1厅,82.5平米,259,31334元/平,2020.05.10,南北,精装,低楼层(共18层),2012年建板楼
航华二村春晖小区,2室1厅,65.45平米,265,40489元/平,2020.05.10,南,简装,低楼层(共6层),1995年建暂无数据
东方豪园(公寓),1室2厅,66.17平米,265,40049元/平,2020.05.10,南,精装,高楼层(共29层),板楼
合景峰汇(嘉定),3房间1卫,47平米,92,19532元/平,2020.05.10,南,其他,高楼层(共20层),塔楼
心圆西苑,2室2厅,78.23平米,335,42823元/平,2020.05.10,南,其他,高楼层(共15层),2012年建板楼
虹梅路2986弄,2室1厅,59.38平米,261,43955元/平,2020.05.10,南,简装,高楼层(共6层),1992年建板楼
华泾五村,1室1厅,48.18平米,208,43172元/平,2020.05.10,南,精装,高楼层(共6层),1996年建板楼
民庆家园,2室1厅,82.9平米,450,54283元/平,2020.05.10,南,精装,低楼层(共18层),2007年建板楼
南山雨果(公寓),3室2厅,84.71平米,455,53713元/平,2020.05.10,南,精装,高楼层(共7层),2015年建板楼
桃浦五村杜鹃苑,2室1厅,63.68平米,242,38003元/平,2020.05.10,南,简装,高楼层(共6层),1995年建板楼
海尚康庭,2室1厅,75平米,261,34734元/平,2020.05.10,南,其他,高楼层(共14层),2008年建板楼
新江湾佳苑,3室2厅,143.19平米,1060,74028元/平,2020.05.10,南,精装,中楼层(共8层),2009年建板楼
金港花园(公寓),2室2厅,90.66平米,298,32871元/平,2020.05.10,南,精装,中楼层(共5层),2010年建板楼
绿波城,1室2厅,59.07平米,258,43576元/平,2020.05.10,南,毛坯,中楼层(共6层),2006年建板楼
东兰路37弄,1室1厅,49.58平米,332,66963元/平,2020.05.10,南,简装,高楼层(共6层),1997年建板楼
竹园新村(浦东),2室1厅,59.01平米,460,77953元/平,2020.05.10,南,精装,低楼层(共6层),1988年建板楼
龙柏四村,1室1厅,39.1平米,189,48338元/平,2020.05.10,南,精装,高楼层(共6层),1996年建板楼
宜川一村,3室1厅,79.59平米,355,44604元/平,2020.05.10,南,简装,高楼层(共6层),1975年建板楼
共富四村,3室2厅,113.47平米,410,36133元/平,2020.05.10,南,简装,中楼层(共6层),2002年建板楼
宁和小区,2室1厅,58.45平米,495,84688元/平,2020.05.10,南,精装,低楼层(共6层),1992年建板楼
日月华城,2室2厅,84.77平米,305,35980元/平,2020.05.10,南,简装,高楼层(共6层),2007年建板楼
新华小区,2室1厅,51.25平米,160,31083元/平,2020.05.10,南,简装,高楼层(共6层),1992年建板楼
华骥苑,3室1厅,82.5平米,228,27576元/平,2020.05.10,南,精装,高楼层(共6层),2008年建板楼
金杨新村四街坊,2室1厅,70.51平米,432,61268元/平,2020.05.10,南,精装,高楼层(共6层),1995年建板楼
牡丹小区(浦东),2室1厅,54.82平米,389,70960元/平,2020.05.10,南,毛坯,高楼层(共6层),1995年建板楼
月夏香樟林,2室1厅,91.39平米,275,30091元/平,2020.05.10,南,简装,低楼层(共17层),2005年建板楼
上南五村,1室0厅,29.79平米,191,64116元/平,2020.05.10,南,简装,低楼层(共6层),1984年建板楼
上海春城,2室2厅,116.53平米,645,55351元/平,2020.05.10,南,精装,高楼层(共17层),2004年建板楼
惠益新苑南苑,3室1厅,101平米,263,25991元/平,2020.05.10,南,精装,低楼层(共14层),2014年建板楼
日晖六村,2室1厅,58.99平米,383,64927元/平,2020.05.10,南,精装,高楼层(共6层),1988年建板楼
公交新村,2室0厅,41.4平米,307,74155元/平,2020.05.10,南,简装,高楼层(共6层),1981年建板楼
竹园小区(嘉定),2室1厅,76.33平米,230,30107元/平,2020.05.10,南,精装,高楼层(共6层),1998年建板楼
西北新村,2室1厅,51.71平米,128,24754元/平,2020.05.10,南,精装,中楼层(共5层),1995年建板楼
管弄五六街坊,2室0厅,44.21平米,238,53834元/平,2020.05.10,南,简装,低楼层(共6层),1988年建板楼
芳华路580弄,3室1厅,89.92平米,418,46486元/平,2020.05.10,南北,简装,高楼层(共6层),1995年建板楼
信达蓝爵,3室2厅,83.05平米,349,42023元/平,2020.05.10,南,精装,中楼层(共22层),2015年建板楼
上南二村,2室1厅,48.44平米,281,58010元/平,2020.05.10,南,精装,高楼层(共6层),1981年建板楼
高境一村,1室1厅,52.58平米,239,45455元/平,2020.05.10,南北,精装,中楼层(共6层),1994年建板楼
三八新村,2室1厅,62平米,155,25000元/平,2020.05.10,南,精装,高楼层(共6层),1995年建板楼
紫薇茗庭,3室1厅,83.32平米,205,24604元/平,2020.05.10,南,毛坯,低楼层(共28层),2014年建塔楼
虹梅路2669弄,2室1厅,60.79平米,285,46883元/平,2020.05.10,南,精装,高楼层(共6层),1994年建板楼
由由七村,1室1厅,52.67平米,261,49554元/平,2020.05.10,南北,简装,高楼层(共6层),1995年建板楼
长城中环墅,4室2厅,164.5平米,940,57143元/平,2020.05.10,南,精装,低楼层(共3层),2009年建板楼
绿地新江桥城一期,1室1厅,56.1平米,224,39929元/平,2020.05.10,南,毛坯,低楼层(共15层),2011年建板楼
惠康苑,2室2厅,81.58平米,225,27581元/平,2020.05.10,南北,毛坯,中楼层(共18层),2014年建板楼
由由三村,2室1厅,60.34平米,286,47399元/平,2020.05.10,南,精装,高楼层(共6层),1997年建板楼
海珀日晖,4室2厅,448.45平米,3380,75371元/平,2020.05.10,南,精装,低楼层(共21层),2010年建板楼
上海康城,2室2厅,109.06平米,413,37870元/平,2020.05.10,南北,精装,中楼层(共15层),2006年建板楼
玉兰香苑(二期),2室1厅,58.98平米,293,49678元/平,2020.05.10,南,精装,高楼层(共6层),1995年建板楼
微山二村,1室0厅,29.75平米,176,59160元/平,2020.05.10,南,精装,高楼层(共6层),1984年建板楼
龙泽家园,2室2厅,68.45平米,324,47334元/平,2020.05.10,南,其他,中楼层(共8层),2007年建板楼
荡湾新村,2室1厅,50.89平米,127,24956元/平,2020.05.10,南,简装,中楼层(共5层),1985年建板楼
嘉利坊,2室1厅,60.96平米,274,44948元/平,2020.05.10,南,其他,低楼层(共6层),1994年建板楼
汇丰沁苑,2室2厅,97.6平米,391,40062元/平,2020.05.10,南,精装,低楼层(共14层),2009年建板楼
南苑二村,2室1厅,70.6平米,163,23088元/平,2020.05.10,南,简装,高楼层(共6层),1993年建板楼
香树丽舍,2室2厅,95.37平米,475,49807元/平,2020.05.10,南北,简装,低楼层(共6层),2001年建板楼
金硕河畔景园南区,1室1厅,55.73平米,166,29787元/平,2020.05.10,南,毛坯,高楼层(共17层),2014年建板楼
